,3,1,29,4,32,5,31,7,8,33,9,10,11,12,13,14,15,18,19,20,2,16,22,26,24,25,23,0,program,body,var_sct,var_dcl,var_dcl',identifier',block,stmt,stmt',assgm_stmt,read_stmt,write_stmt,if_stmt,else_stmt,while_stmt,expr,arithm_expr,term,factor,literal,bool_expr,
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,s7,,,,s6,,,,,,,,,,,,,,,,,,,,,,3,5,,,,4,,,,,,,,,,,,,,,
3,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
6,,s17,,,,,,s6,,,s18,s19,s20,,,s21,,,,,,,,,,,,,,,,,,,16,10,,11,12,13,14,,15,,,,,,,
7,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,23,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
9,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,s27,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,
11,,,,,,,r12,,r12,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,r13,,r13,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,r14,,r14,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,r15,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,r16,,r16,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,r17,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s30,,,,,,,,,,,,,,,,,,,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,31,,
20,,s39,,,,,,,,,,,,,,,,,,,s40,s35,,,,,,,,,,,,,,,,,,,,,,,36,37,38,,34,
21,,s39,,,,,,,,,,,,,,,,,,,s40,s35,,,,,,,,,,,,,,,,,,,,,,,36,37,38,,41,
22,,,,,,,s43,r4,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,
23,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,s24,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,
